Цифровой код;Наименование краткое;Наименование полное;Код альфа-2;Код альфа-3;autokey
004;АФГАНИСТАН;Переходное Исламское Государство Афганистан;AF;AFG;classifierOksm_004
008;АЛБАНИЯ;Республика Албания;AL;ALB;classifierOksm_008
010;АНТАРКТИДА;АНТАРКТИДА;AQ;ATA;classifierOksm_010
012;АЛЖИР;Алжирская Народная Демократическая Республика;DZ;DZA;classifierOksm_012
016;АМЕРИКАНСКОЕ САМОА;АМЕРИКАНСКОЕ САМОА;AS;ASM;classifierOksm_016
020;АНДОРРА;Княжество Андорра;AD;AND;classifierOksm_020
024;АНГОЛА;Республика Ангола;AO;AGO;classifierOksm_024
028;АНТИГУА И БАРБУДА;АНТИГУА И БАРБУДА;AG;ATG;classifierOksm_028
031;АЗЕРБАЙДЖАН;Республика Азербайджан;AZ;AZE;classifierOksm_031
032;АРГЕНТИНА;Аргентинская Республика;AR;ARG;classifierOksm_032
036;АВСТРАЛИЯ;АВСТРАЛИЯ;AU;AUS;classifierOksm_036
040;АВСТРИЯ;Австрийская Республика;AT;AUT;classifierOksm_040
044;БАГАМЫ;Содружество Багамы;BS;BHS;classifierOksm_044
048;БАХРЕЙН;Королевство Бахрейн;BH;BHR;classifierOksm_048
050;БАНГЛАДЕШ;Народная Республика Бангладеш;BD;BGD;classifierOksm_050
051;АРМЕНИЯ;Республика Армения;AM;ARM;classifierOksm_051
052;БАРБАДОС;БАРБАДОС;BB;BRB;classifierOksm_052
056;БЕЛЬГИЯ;Королевство Бельгия;BE;BEL;classifierOksm_056
060;БЕРМУДЫ;БЕРМУДЫ;BM;BMU;classifierOksm_060
064;БУТАН;Королевство Бутан;BT;BTN;classifierOksm_064
068;БОЛИВИЯ, МНОГОНАЦИОНАЛЬНОЕ ГОСУДАРСТВО;Многонациональное Государство Боливия;BO;BOL;classifierOksm_068
070;БОСНИЯ И ГЕРЦЕГОВИНА;БОСНИЯ И ГЕРЦЕГОВИНА;BA;BIH;classifierOksm_070
072;БОТСВАНА;Республика Ботсвана;BW;BWA;classifierOksm_072
074;ОСТРОВ БУВЕ;ОСТРОВ БУВЕ;BV;BVT;classifierOksm_074
076;БРАЗИЛИЯ;Федеративная Республика Бразилия;BR;BRA;classifierOksm_076
084;БЕЛИЗ;БЕЛИЗ;BZ;BLZ;classifierOksm_084
086;БРИТАНСКАЯ ТЕРРИТОРИЯ В ИНДИЙСКОМ ОКЕАНЕ;БРИТАНСКАЯ ТЕРРИТОРИЯ В ИНДИЙСКОМ ОКЕАНЕ;IO;IOT;classifierOksm_086
090;СОЛОМОНОВЫ ОСТРОВА;СОЛОМОНОВЫ ОСТРОВА;SB;SLB;classifierOksm_090
092;ВИРГИНСКИЕ ОСТРОВА (БРИТАНСКИЕ);Британские Виргинские острова;VG;VGB;classifierOksm_092
096;БРУНЕЙ-ДАРУССАЛАМ;БРУНЕЙ-ДАРУССАЛАМ;BN;BRN;classifierOksm_096
100;БОЛГАРИЯ;Республика Болгария;BG;BGR;classifierOksm_100
104;МЬЯНМА;Республика Союза Мьянма;MM;MMR;classifierOksm_104
108;БУРУНДИ;Республика Бурунди;BI;BDI;classifierOksm_108
112;БЕЛАРУСЬ;Республика Беларусь;BY;BLR;classifierOksm_112
116;КАМБОДЖА;Королевство Камбоджа;KH;KHM;classifierOksm_116
120;КАМЕРУН;Республика Камерун;CM;CMR;classifierOksm_120
124;КАНАДА;КАНАДА;CA;CAN;classifierOksm_124
132;КАБО-ВЕРДЕ;Республика Кабо-Верде;CV;CPV;classifierOksm_132
136;ОСТРОВА КАЙМАН;ОСТРОВА КАЙМАН;KY;CYM;classifierOksm_136
140;ЦЕНТРАЛЬНО-АФРИКАНСКАЯ РЕСПУБЛИКА;Центрально-африканская Республика;CF;CAF;classifierOksm_140
144;ШРИ-ЛАНКА;Демократическая Социалистическая Республика Шри-Ланка;LK;LKA;classifierOksm_144
148;ЧАД;Республика Чад;TD;TCD;classifierOksm_148
152;ЧИЛИ;Республика Чили;CL;CHL;classifierOksm_152
156;КИТАЙ;Китайская Народная Республика;CN;CHN;classifierOksm_156
158;ТАЙВАНЬ (КИТАЙ);ТАЙВАНЬ (КИТАЙ);TW;TWN;classifierOksm_158
162;ОСТРОВ РОЖДЕСТВА;ОСТРОВ РОЖДЕСТВА;CX;CXR;classifierOksm_162
166;КОКОСОВЫЕ (КИЛИНГ) ОСТРОВА;КОКОСОВЫЕ (КИЛИНГ) ОСТРОВА;CC;CCK;classifierOksm_166
170;КОЛУМБИЯ;Республика Колумбия;CO;COL;classifierOksm_170
174;КОМОРЫ;Союз Коморы;KM;COM;classifierOksm_174
175;МАЙОТТА;МАЙОТТА;YT;MYT;classifierOksm_175
178;КОНГО;Республика Конго;CG;COG;classifierOksm_178
180;КОНГО, ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА;Демократическая Республика Конго;CD;COD;classifierOksm_180
184;ОСТРОВА КУКА;ОСТРОВА КУКА;CK;COK;classifierOksm_184
188;КОСТА-РИКА;Республика Коста-Рика;CR;CRI;classifierOksm_188
191;ХОРВАТИЯ;Республика Хорватия;HR;HRV;classifierOksm_191
192;КУБА;Республика Куба;CU;CUB;classifierOksm_192
196;КИПР;Республика Кипр;CY;CYP;classifierOksm_196
203;ЧЕХИЯ;Чешская Республика;CZ;CZE;classifierOksm_203
204;БЕНИН;Республика Бенин;BJ;BEN;classifierOksm_204
208;ДАНИЯ;Королевство Дания;DK;DNK;classifierOksm_208
212;ДОМИНИКА;Содружество Доминики;DM;DMA;classifierOksm_212
214;ДОМИНИКАНСКАЯ РЕСПУБЛИКА;Доминиканская Республика;DO;DOM;classifierOksm_214
218;ЭКВАДОР;Республика Эквадор;EC;ECU;classifierOksm_218
222;ЭЛЬ-САЛЬВАДОР;Республика Эль-Сальвадор;SV;SLV;classifierOksm_222
226;ЭКВАТОРИАЛЬНАЯ ГВИНЕЯ;Республика Экваториальная Гвинея;GQ;GNQ;classifierOksm_226
231;ЭФИОПИЯ;Федеративная Демократическая Республика Эфиопия;ET;ETH;classifierOksm_231
232;ЭРИТРЕЯ;Государство Эритрея;ER;ERI;classifierOksm_232
233;ЭСТОНИЯ;Эстонская Республика;EE;EST;classifierOksm_233
